Team,Division,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers
Virginia (Hydra),Women's,20,Anna Lockwood,,,,,,
Virginia (Hydra),Women's,22,Kiera Givens,,"5'10""",,1,,
Virginia (Hydra),Women's,23,MICHELE DERIEUX,,,,7,,
Virginia (Hydra),Women's,24,Kelly Ross,,,,,,
Virginia (Hydra),Women's,27,REBECCA MEEKER,,"5'6""",5,4,,
Virginia (Hydra),Women's,30,BROGAN JONES,,"5'2""",,2,,
Virginia (Hydra),Women's,31,SARAH HANSEN,,"1'0""",10,5,,
Virginia (Hydra),Women's,32,REBECCA DRIVER,,"5'8""",3,1,,
Virginia (Hydra),Women's,34,IBBY HAN,,"1'0""",,,,
Virginia (Hydra),Women's,36,Delia Goldin,,"5'8""",,,,
Virginia (Hydra),Women's,44,KEILA STRICK,,,10,5,,
Virginia (Hydra),Women's,52,TESS WARNER,,,2,7,,
Virginia (Hydra),Women's,54,SARAI ARBUS,,,3,,,
Texas (TUFF),Men's,1,SIDNEY WATTS,,,,1,,
Texas (TUFF),Men's,2,GAVIN MURPHY,,,1,4,,
Texas (TUFF),Men's,4,MITCHELL SMARDA,,,,,,
Texas (TUFF),Men's,6,Garrett Idler,,,6,2,,
Texas (TUFF),Men's,7,JORDAN TAYLOR,,"6'2""",1,5,,
Texas (TUFF),Men's,8,HAGEN FRITZ,,"6'1""",1,3,,
Texas (TUFF),Men's,10,CONNOR BREEN,,,4,,,
Texas (TUFF),Men's,11,DILLON LARBERG,,"6'2""",9,8,,
Texas (TUFF),Men's,12,SHAWN STONE,,"1'0""",,1,,
Texas (TUFF),Men's,13,Nash Mock,,"5'9""",3,4,,
Texas (TUFF),Men's,14,DENNIS MERWORTH,,,,,,
Texas (TUFF),Men's,15,JOEY HEMANN,,"5'7""",,,,
Texas (TUFF),Men's,16,MICHAEL HAYS,,"5'10""",8,4,,
Texas (TUFF),Men's,17,DUFF NEUBAUER,,,,,,
Texas (TUFF),Men's,18,David Miller,,"6'5""",2,,,
Texas (TUFF),Men's,19,JONATHAN CLUTTON,,,,,,
Texas (TUFF),Men's,20,CHASE CUNNINGHAM,,"6'3""",3,15,,
Texas (TUFF),Men's,21,JOEL CLUTTON,,,6,5,,
Texas (TUFF),Men's,23,Matt Mihovil,,"6'1""",1,1,,
Texas (TUFF),Men's,24,DANNY MURRAY,,,,,,
Texas (TUFF),Men's,27,DEREK TINKER,,,1,,,
Texas (TUFF),Men's,29,Logan Kinney,,,4,1,,
Texas (TUFF),Men's,31,LUKE SIMERLY,,"6'2""",4,,,
Texas (TUFF),Men's,32,JOSH BRUNELLI,,,,1,,
Texas (TUFF),Men's,34,CARLOS VARGAS,,,1,6,,
Texas (TUFF),Men's,93,CHRIS SCHULTZ,,"6'2""",7,,,
Texas (TUFF),Men's,96,KEIVAUN WAUGH,,,,1,,
Whitman (Whitman Sweets),Women's,0,SARAH ADAMS,,"5'3""",,,,
Whitman (Whitman Sweets),Women's,0,JESSIE AUSTIN,,,,,,
